ticker,error_type,error_message,timestamp
LMT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:03:59.706641+00:00
RTX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:05.618508+00:00
GD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:11.801793+00:00
NOC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:18.032098+00:00
LHX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:24.380779+00:00
TDG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:30.989888+00:00
HII,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:36.936164+00:00
MOG.A,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:43.050813+00:00
HEI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:49.383899+00:00
ESAB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:04:55.531245+00:00
ITT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:01.541544+00:00
WTS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:07.692236+00:00
RXN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:13.788408+00:00
ACCO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:20.306444+00:00
LYTS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:26.148896+00:00
KBAL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:32.196306+00:00
GFF,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:38.463651+00:00
ASTE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:44.957814+00:00
HCSG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:50.877657+00:00
HI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:05:57.059292+00:00
CSWI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:03.121708+00:00
NVT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:09.607877+00:00
TRMK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:16.036493+00:00
DXPE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:21.937258+00:00
PCAR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:27.980054+00:00
CMI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:34.325644+00:00
DOV,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:40.779924+00:00
AOS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:47.069042+00:00
ALLE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:06:53.386053+00:00
MAS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:00.932259+00:00
JCI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:07.101703+00:00
LII,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:13.324472+00:00
PWR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:19.613784+00:00
FAST,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:25.968040+00:00
GWW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:32.458023+00:00
WSO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:38.688569+00:00
AIT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:45.021803+00:00
MSM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:51.841715+00:00
SITE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:07:58.751000+00:00
BLDR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:05.000876+00:00
EXP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:11.191181+00:00
VMC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:18.421284+00:00
MLM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:24.687937+00:00
NUE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:31.167485+00:00
STLD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:36.959594+00:00
X,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:42.889460+00:00
CLF,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:48.707567+00:00
RS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:08:54.707879+00:00
ATI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:00.648839+00:00
CRS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:06.647549+00:00
KMT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:13.378759+00:00
FLS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:19.372865+00:00
CR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:25.161419+00:00
DCI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:31.489999+00:00
GTLS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:37.821633+00:00
CFX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:43.639396+00:00
HEES,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:49.996604+00:00
TKR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:09:56.082215+00:00
ROLL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:03.078350+00:00
B,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:09.419529+00:00
WCC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:15.632765+00:00
AYI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:21.736641+00:00
HUBB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:27.668158+00:00
POWL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:33.635367+00:00
THR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:39.610864+00:00
MWA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:46.050391+00:00
AWI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:52.191981+00:00
JBT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:10:58.502576+00:00
GGG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:04.578403+00:00
SPXC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:10.698789+00:00
CIR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:16.828801+00:00
CSL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:23.207645+00:00
EME,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:29.467469+00:00
MTZ,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:35.299523+00:00
BMI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:41.778689+00:00
NDSN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:47.726503+00:00
AAON,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:11:54.059603+00:00
LECO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:00.168342+00:00
KAMN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:06.296242+00:00
CW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:12.718716+00:00
HXL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:18.749599+00:00
TXT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:25.189061+00:00
SPR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:31.288099+00:00
ABT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:37.527617+00:00
MDT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:44.918857+00:00
SYK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:51.198714+00:00
BSX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:12:57.160613+00:00
ZBH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:04.121330+00:00
EW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:10.288301+00:00
HOLX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:16.852471+00:00
DXCM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:23.191363+00:00
ISRG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:29.612350+00:00
RMD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:36.245852+00:00
BAX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:42.419046+00:00
BDX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:48.668794+00:00
HAE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:13:55.856577+00:00
ICUI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:02.054900+00:00
AMED,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:08.391235+00:00
NVCR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:14.594857+00:00
RGEN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:20.956216+00:00
IART,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:27.308107+00:00
MMSI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:33.557811+00:00
PEN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:39.819379+00:00
OSIS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:46.023325+00:00
ATRC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:52.482887+00:00
NTRA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:14:59.319908+00:00
INSP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:05.420477+00:00
SWAV,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:11.875792+00:00
AXNX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:17.693084+00:00
TNDM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:23.729895+00:00
NVST,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:29.866490+00:00
ALGN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:35.952986+00:00
VRTX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:43.251456+00:00
GMED,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:49.414412+00:00
CNMD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:15:55.229300+00:00
STE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:01.911827+00:00
TFX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:08.357208+00:00
XRAY,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:14.736018+00:00
AAPL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:20.607470+00:00
DELL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:26.771719+00:00
HPQ,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:32.808194+00:00
HPE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:38.834109+00:00
NTAP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:45.121120+00:00
STX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:50.936283+00:00
WDC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:16:57.050610+00:00
PSTG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:03.546119+00:00
SMCI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:09.450832+00:00
JNPR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:15.558048+00:00
CSCO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:21.843781+00:00
ANET,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:28.102538+00:00
CIEN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:34.073223+00:00
VIAV,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:40.110698+00:00
CLFD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:46.217862+00:00
ATEN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:52.320554+00:00
ARLO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:17:58.517999+00:00
CALX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:04.760480+00:00
DIGI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:11.118247+00:00
LIQT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:17.453973+00:00
PCTI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:23.376993+00:00
SIFY,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:29.326652+00:00
SMSI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:35.324528+00:00
SPOK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:41.636558+00:00
SYNA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:47.966176+00:00
TTEC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:18:54.333163+00:00
UTSI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:19:00.408528+00:00
VNET,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:19:06.240174+00:00
GLW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:19:12.317993+00:00
TEL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:19:18.383505+00:00
APH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:19:24.235828+00:00
KEYS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:19:30.174437+00:00
FFIV,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:19:36.609091+00:00
EMR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:24:45.392761+00:00
ETN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:24:51.310023+00:00
PH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:24:57.302346+00:00
ROK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:03.233335+00:00
IR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:09.003436+00:00
AME,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:14.740610+00:00
FTV,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:20.507942+00:00
GNRC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:26.662104+00:00
HUBB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:32.606549+00:00
LDOS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:38.482680+00:00
LDOS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:44.335752+00:00
LMT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:51.017175+00:00
NOC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:25:57.108637+00:00
RTX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:26:02.901789+00:00
TDG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-06-16T20:26:08.675256+00:00
RXN,CompanyNotFoundError,"Company not found: 'RXN'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:19:14.391691+00:00
KBAL,CompanyNotFoundError,"Company not found: 'KBAL'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:19:31.805126+00:00
HI,CompanyNotFoundError,"Company not found: 'HI'
  Similar: 'HIT' (Health In Tech, Inc.), 'HIX' (WESTERN ASSET HIGH INCOME FUND II INC.), 'HIO' (WESTERN ASSET HIGH INCOME OPPORTUNITY FUND INC.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:19:55.296405+00:00
CSWI,CompanyNotFoundError,"Company not found: 'CSWI'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:19:58.333123+00:00
X,CompanyNotFoundError,"Company not found: 'X'
  Similar: 'XP' (XP Inc.), 'XE' (X-Energy, Inc.), 'XZO' (Exzeo Group, Inc.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:23:12.096911+00:00
CFX,CompanyNotFoundError,"Company not found: 'CFX'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:24:18.842282+00:00
HEES,CompanyNotFoundError,"Company not found: 'HEES'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:24:21.882202+00:00
ROLL,CompanyNotFoundError,"Company not found: 'ROLL'
  Similar: 'ROL' (ROLLINS INC)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:24:33.088187+00:00
B,AttributeError,'NoneType' object has no attribute 'to_dataframe',2026-06-16T21:24:36.714073+00:00
JBT,CompanyNotFoundError,"Company not found: 'JBT'
  Similar: 'JBTM' (JBT MAREL Corp)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:25:27.046290+00:00
CIR,CompanyNotFoundError,"Company not found: 'CIR'
  Similar: 'CIRX' (CIRTRAN CORP), 'CRUS' (CIRRUS LOGIC, INC.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:25:44.416528+00:00
KAMN,CompanyNotFoundError,"Company not found: 'KAMN'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:26:31.855387+00:00
SPR,CompanyNotFoundError,"Company not found: 'SPR'
  Similar: 'SPRU' (SPRUCE POWER HOLDING CORP), 'SPRS' (SURGE COMPONENTS INC), 'SPRO' (Spero Therapeutics, Inc.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:26:54.307775+00:00
HOLX,CompanyNotFoundError,"Company not found: 'HOLX'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:27:45.378941+00:00
AMED,CompanyNotFoundError,"Company not found: 'AMED'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:28:35.931263+00:00
SWAV,CompanyNotFoundError,"Company not found: 'SWAV'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:29:37.833210+00:00
AXNX,CompanyNotFoundError,"Company not found: 'AXNX'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:29:40.862429+00:00
PSTG,CompanyNotFoundError,"Company not found: 'PSTG'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:31:37.880107+00:00
JNPR,CompanyNotFoundError,"Company not found: 'JNPR'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:31:48.826360+00:00
DIGI,CompanyNotFoundError,"Company not found: 'DIGI'
  Similar: 'DGNX' (Diginex Ltd), 'DMRC' (Digimarc Corp), 'GENVR' (Gen Digital Inc.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:32:48.181401+00:00
PCTI,CompanyNotFoundError,"Company not found: 'PCTI'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T21:32:56.228700+00:00
UTSI,AttributeError,'NoneType' object has no attribute 'to_dataframe',2026-06-16T21:33:28.701027+00:00
RXN,CompanyNotFoundError,"Company not found: 'RXN'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:24:16.430950+00:00
HI,CompanyNotFoundError,"Company not found: 'HI'
  Similar: 'HIT' (Health In Tech, Inc.), 'HIX' (WESTERN ASSET HIGH INCOME FUND II INC.), 'HIO' (WESTERN ASSET HIGH INCOME OPPORTUNITY FUND INC.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:24:43.962416+00:00
CSWI,CompanyNotFoundError,"Company not found: 'CSWI'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:24:46.997180+00:00
X,CompanyNotFoundError,"Company not found: 'X'
  Similar: 'XP' (XP Inc.), 'XE' (X-Energy, Inc.), 'XZO' (Exzeo Group, Inc.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:27:23.332599+00:00
CFX,CompanyNotFoundError,"Company not found: 'CFX'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:28:13.743089+00:00
HEES,CompanyNotFoundError,"Company not found: 'HEES'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:28:16.778853+00:00
ROLL,CompanyNotFoundError,"Company not found: 'ROLL'
  Similar: 'ROL' (ROLLINS INC)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:28:25.669566+00:00
B,AttributeError,'NoneType' object has no attribute 'to_dataframe',2026-06-16T22:28:29.489562+00:00
JBT,CompanyNotFoundError,"Company not found: 'JBT'
  Similar: 'JBTM' (JBT MAREL Corp)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:29:06.371467+00:00
CIR,CompanyNotFoundError,"Company not found: 'CIR'
  Similar: 'CIRX' (CIRTRAN CORP), 'CRUS' (CIRRUS LOGIC, INC.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:29:19.956724+00:00
KAMN,CompanyNotFoundError,"Company not found: 'KAMN'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:29:55.112296+00:00
SPR,CompanyNotFoundError,"Company not found: 'SPR'
  Similar: 'SPRU' (SPRUCE POWER HOLDING CORP), 'SPRS' (SURGE COMPONENTS INC), 'SPRO' (Spero Therapeutics, Inc.)
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:30:12.350229+00:00
HOLX,CompanyNotFoundError,"Company not found: 'HOLX'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:30:53.112656+00:00
AMED,CompanyNotFoundError,"Company not found: 'AMED'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:31:32.050033+00:00
SWAV,CompanyNotFoundError,"Company not found: 'SWAV'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:32:16.903695+00:00
AXNX,CompanyNotFoundError,"Company not found: 'AXNX'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:32:19.943900+00:00
PSTG,CompanyNotFoundError,"Company not found: 'PSTG'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:33:44.980321+00:00
JNPR,CompanyNotFoundError,"Company not found: 'JNPR'
  Tip: Search by name with find_company(""..."") or pass a CIK directly.",2026-06-16T22:33:54.258601+00:00
